file,site,plot,treatment,doy,Av_R,Av_G,Av_B,Index,Index2,Index3,GEI
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_11_183.tif,DRYAS,11,C,183,19299.503648,17201.858049632654,14332.136580897959,0.33839610949809074,0.37966113491250886,0.2819427555894003,0.015188328494272318
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_11_196.tif,DRYAS,11,C,196,23925.151512163266,22452.00969534694,18480.685713632654,0.34617260302589326,0.36888599680548384,0.2849414001686229,0.038517809077679765
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_11_207.tif,DRYAS,11,C,207,24549.754414367348,23110.575661061226,18913.218877714287,0.3471435130689424,0.36876138947686943,0.28409509745418815,0.041430539206827266
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_12_183.tif,DRYAS,12,C,183,21831.655692408163,19977.635640816326,17086.594143020408,0.339202568723992,0.37068218799789937,0.2901152432781085,0.017607706171976156
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_12_196.tif,DRYAS,12,C,196,23005.54123102041,21723.318670040815,18124.244889469388,0.34562045490732274,0.36602076075144663,0.28835878434123063,0.036861364721968215
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_12_207.tif,DRYAS,12,C,207,21117.994016,20251.07873044898,17297.214717387757,0.3451910732025137,0.3599681338113925,0.2948407929860938,0.03557321960754112
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_13_183.tif,DRYAS,13,C,183,18678.037544163264,16406.38646987755,13141.842837224489,0.3401960703381108,0.38730009108455826,0.272503838577331,0.02058821101433228
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_13_196.tif,DRYAS,13,C,196,22147.315821061224,20308.267288489795,16543.28387591837,0.34421453031447946,0.3753854430207245,0.280400026664796,0.03264359094343838
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_13_207.tif,DRYAS,13,C,207,22990.348641306122,21321.98275787755,17222.174862040818,0.34650449078704054,0.3736171790134817,0.2798783301994777,0.03951347236112168
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_14_183.tif,DRYAS,14,C,183,22916.944150857144,20223.396721632653,16615.636614530613,0.33843303334842734,0.38350881559648037,0.27805815105509224,0.01529910004528201
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_14_196.tif,DRYAS,14,C,196,22067.157063183673,20111.965848816326,15785.369488653061,0.34697044718000036,0.3807012905530947,0.2723282622669049,0.04091134154000109
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_CTL_14_207.tif,DRYAS,14,C,207,23609.493522612243,21773.36677289796,16973.238241959185,0.34917782355826,0.37862364830964285,0.2721985281320972,0.047533470674779865
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_11_183.tif,DRYAS,11,T,183,21987.043177142856,19252.44537730612,14861.257160489797,0.34317628280972184,0.3919206936903165,0.2649030234999616,0.02952884842916559
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_11_196.tif,DRYAS,11,T,196,25172.006332081633,23331.26525420408,18472.24528587755,0.3483551354853545,0.3758389260381171,0.2758059384765284,0.045065406456063495
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_11_207.tif,DRYAS,11,T,207,28458.50581910204,26526.45260734694,20145.75584587755,0.35307068306573564,0.3787865734371752,0.26814274349708916,0.059212049197206906
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_12_183.tif,DRYAS,12,T,183,22524.74858710204,19891.820605714285,16053.949271183674,0.3402025692308779,0.3852325783799987,0.27456485238912337,0.020607707692633648
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_12_196.tif,DRYAS,12,T,196,25077.458643918366,23085.779347265307,18581.953051428573,0.3458792908769504,0.37571933276673253,0.278401376356317,0.03763787263085128
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_12_207.tif,DRYAS,12,T,207,26208.956221714285,24093.988921142856,18813.784379102042,0.34859850990906505,0.3791984430251058,0.2722030470658292,0.04579552972719503
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_13_183.tif,DRYAS,13,T,183,23844.049469714286,21788.497795591837,18377.171371428572,0.34039358803067105,0.37250670644301764,0.2870997055263113,0.021180764092013082
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_13_196.tif,DRYAS,13,T,196,24188.80746710204,23150.704339918368,18448.45476342857,0.35189876730917746,0.3676782963218582,0.2804229363689644,0.05569630192753228
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_13_207.tif,DRYAS,13,T,207,24041.198240326532,22806.850654040816,18065.668627591836,0.3513410034839809,0.3703562075641995,0.27830278895181954,0.0540230104519428
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_14_183.tif,DRYAS,14,T,183,28557.1402357551,25880.791910857144,21991.486669387756,0.3386234294567103,0.37364068284367025,0.2877358876996194,0.015870288370130936
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_14_196.tif,DRYAS,14,T,196,26151.392286367347,23655.491087020408,18165.455145795917,0.3480164373091883,0.3847358036532273,0.26724775903758446,0.044049311927564894
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_DRYAS_OTC_14_207.tif,DRYAS,14,T,207,25046.19829420408,22725.857202938776,16911.248860081632,0.35134038727260103,0.38721272116653493,0.261446891560864,0.05402116181780314
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_11_182.tif,MEAD,11,C,182,22624.56539069388,20430.588213877552,16696.745819755102,0.34192366118422896,0.3786417772266305,0.27943456158914054,0.02577098355268681
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_11_195.tif,MEAD,11,C,195,27240.45824130612,25273.652994612246,21434.11004767347,0.34177499547538337,0.3683720550469877,0.28985294947762896,0.025324986426149998
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_11_206.tif,MEAD,11,C,206,25193.339618938775,22945.259152979594,18742.282775836735,0.3430765059009568,0.3766897061748494,0.2802337879241939,0.02922951770287019
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_12_182.tif,MEAD,12,C,182,25795.8714197551,21925.273309714285,16529.901507591836,0.3412438332726693,0.40148562444537367,0.25727054228195706,0.023731499818007817
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_12_195.tif,MEAD,12,C,195,19745.075488979594,17241.62959967347,13230.452621387754,0.3433414073179622,0.3931938084387362,0.2634647842433016,0.030024221953886543
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_12_206.tif,MEAD,12,C,206,25039.407872,22994.98898122449,18317.9658997551,0.34655870608303074,0.37737025228804816,0.2760710416289211,0.03967611824909223
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_13_182.tif,MEAD,13,C,182,26083.75536,23487.896336979593,18512.84550889796,0.34498156409902875,0.38310858463309994,0.2719098512678712,0.0349446922970863
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_13_195.tif,MEAD,13,C,195,20433.50470432653,18389.25100734694,14186.571911836734,0.3469059471561965,0.3854699846308568,0.2676240682129467,0.04071784146858948
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_13_206.tif,MEAD,13,C,206,24259.93748342857,22494.56557942857,17659.87962089796,0.3492165047962426,0.3766229912119731,0.27416050399178427,0.047649514388727776
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_14_182.tif,MEAD,14,C,182,28682.754177632654,25840.18171134694,21105.857453061224,0.3416712150157075,0.3792570648048192,0.27907172017947324,0.025013645047122557
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_14_195.tif,MEAD,14,C,195,19652.511346285715,17377.225820081632,13797.736018938776,0.341886478533528,0.38665135436965065,0.2714621670968213,0.025659435600584035
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_CTL_14_206.tif,MEAD,14,C,206,23995.390397714287,22029.48256489796,17314.511366204082,0.3478007056484068,0.3788383902367291,0.273360904114864,0.04340211694522056
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_11_182.tif,MEAD,11,T,182,26704.610093061223,24658.830892734695,20710.597640489796,0.3421319432451162,0.3705163551542946,0.28735170160058926,0.026395829735348597
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_11_195.tif,MEAD,11,T,195,26649.1237482449,25357.637133387754,21703.13968555102,0.34401941853489904,0.36154062809995613,0.2944399533651448,0.032058255604697106
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_11_206.tif,MEAD,11,T,206,26620.461404734695,25537.53602122449,19793.878924408164,0.35492522664551895,0.3699759166127539,0.275098856741727,0.06477567993655697
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_12_182.tif,MEAD,12,T,182,24540.987428244898,21824.081799836735,17488.31542432653,0.34178425965417736,0.38433338439044457,0.27388235595537813,0.025352778962532074
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_12_195.tif,MEAD,12,T,195,27259.510616489795,25956.50749779592,23198.22234089796,0.339681548140483,0.35673338443345876,0.3035850674260582,0.019044644421449153
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_12_206.tif,MEAD,12,T,206,24711.361094204083,23636.807309714284,19521.084265142857,0.34826974484263507,0.3641024487878141,0.2876278063695507,0.044809234527905306
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_13_182.tif,MEAD,13,T,182,28609.025767836734,25133.17976457143,19915.023059591836,0.3412181023506656,0.3884075781116749,0.2703743195376595,0.02365430705199667
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_13_195.tif,MEAD,13,T,195,20822.978722938777,18745.92541746939,14685.653560489796,0.3455179843288839,0.38380146489691386,0.2706805507742023,0.03655395298665165
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_13_206.tif,MEAD,13,T,206,27540.522393142855,25944.648572408165,20851.652710204082,0.34901475862856907,0.37048290512478776,0.28050233624664317,0.04704427588570714
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_14_182.tif,MEAD,14,T,182,28948.74774334694,25052.114702367347,20223.09841110204,0.33752058517457434,0.3900189023756261,0.2724605124497996,0.012561755523723073
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_14_195.tif,MEAD,14,T,195,21216.632301061225,18150.01489502041,13359.772076734695,0.3442299922000932,0.40239091889176865,0.2533790889081381,0.032689976600279724
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_MEAD_OTC_14_206.tif,MEAD,14,T,206,27982.430407836735,25454.464208,19479.273720163266,0.34909218063550773,0.38376166831604225,0.26714615104845,0.047276541906523195
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_11_179.tif,WILL,11,C,179,22395.59424,21450.65695020408,19887.705500081633,0.3365655933530575,0.351391870252636,0.3120425363943065,0.009696780059172516
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_11_192.tif,WILL,11,C,192,20573.02448522449,20091.58165746939,15961.33232457143,0.35481233867910306,0.36331449936352894,0.281873161957368,0.06443701603730922
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_11_197.tif,WILL,11,C,197,23377.88568620408,22933.889635265306,18502.53655902041,0.35383990001394733,0.3606901779549899,0.2854699220310628,0.06151970004184193
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_11_208.tif,WILL,11,C,208,22748.755720489797,22232.23588342857,17432.99087379592,0.35620601347409414,0.3644817205601731,0.27931226596573283,0.06861804042228237
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_12_179.tif,WILL,12,C,179,22797.64881632653,21545.675475265307,20161.778274938777,0.33401505645298496,0.353423960419457,0.31256098312755803,0.0020451693589548237
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_12_192.tif,WILL,12,C,192,21456.560686040815,20892.542060081632,17371.187400489795,0.34983992892182564,0.35928426726268986,0.2908758038154845,0.04951978676547697
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_12_197.tif,WILL,12,C,197,23160.940700734693,22602.555299265307,18016.152232163266,0.3543850730720576,0.363139988110736,0.2824749388172064,0.06315521921617273
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_12_208.tif,WILL,12,C,208,24289.83698057143,23661.34473730612,18175.13358497959,0.3578204021944616,0.36732482173435016,0.2748547760711883,0.07346120658338473
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_13_179.tif,WILL,13,C,179,23957.76356244898,22480.994370938777,20920.174189061225,0.33374926921453446,0.355673149908273,0.31057758087719256,0.001247807643603438
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_13_192.tif,WILL,13,C,192,24751.729569306124,23581.509757714284,20320.289666612243,0.34348576254399654,0.36053105983236133,0.29598317762364224,0.030457287631989516
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_13_197.tif,WILL,13,C,197,25047.49041665306,23798.905399183674,19888.206329142857,0.34624344444426175,0.364408749523584,0.28934780603215443,0.03873033333278508
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_13_208.tif,WILL,13,C,208,26615.02961991837,25537.271741714285,21194.921987918366,0.3481695771905537,0.3628634923653356,0.28896693044411076,0.04450873157166102
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_14_179.tif,WILL,14,C,179,21624.645150367345,20123.951152326532,18498.956000979593,0.3340210578330751,0.35892985396933424,0.3070490881975907,0.002063173499225357
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_14_192.tif,WILL,14,C,192,24028.278430367347,23246.996914285715,19585.072274612245,0.3476948257383464,0.35938010025308004,0.2929250740085736,0.04308447721503916
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_14_197.tif,WILL,14,C,197,23958.02483330612,23071.932374857144,18654.474029061224,0.3512542004288816,0.3647443447714395,0.28400145479967887,0.053762601286644895
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_CTL_14_208.tif,WILL,14,C,208,25380.405746612243,24464.823657795918,19940.63689240816,0.3505698926734111,0.36368977120185314,0.2857403361247357,0.051709678020233296
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_11_179.tif,WILL,11,T,179,21803.240414040818,21321.679101387756,19236.090151836735,0.3419072143820658,0.3496293682603063,0.30846341735762806,0.025721643146197182
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_11_192.tif,WILL,11,T,192,23799.64033142857,23248.928648163266,18921.89055412245,0.35241422922454974,0.36076208199316445,0.28682368878228587,0.05724268767364915
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_11_197.tif,WILL,11,T,197,23980.600168163266,23341.929547755102,18788.48949746939,0.35307169403052047,0.3627322714653761,0.2841960345041034,0.059215082091561455
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_11_208.tif,WILL,11,T,208,23838.490327510204,23229.55135314286,18843.07311412245,0.3524375429769573,0.3616763333731351,0.2858861236499077,0.057312628930871856
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_12_179.tif,WILL,12,T,179,18488.26580179592,17310.965529142857,15506.740851591836,0.33740644203282716,0.3603530937104251,0.3022404642567477,0.01221932609848142
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_12_192.tif,WILL,12,T,192,26301.646313795918,25868.050098285716,19728.269010285716,0.35978834653140546,0.36581906260192326,0.27439259086667117,0.07936503959421648
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_12_197.tif,WILL,12,T,197,26091.377298612246,26001.476743836734,20437.72860114286,0.3584898369230734,0.3597293217238129,0.2817808413531138,0.07546951076922015
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_12_208.tif,WILL,12,T,208,25838.13054922449,25438.432200163264,19105.166241306124,0.3614351702488983,0.3671141774968458,0.27145065225425585,0.08430551074669501
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_13_179.tif,WILL,13,T,179,24337.318053877552,22774.42190432653,20857.7856757551,0.3350681307822441,0.35806220253680937,0.30686966668094645,0.005204392346732423
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_13_192.tif,WILL,13,T,192,24573.825916734695,24275.40311477551,19079.188456163265,0.3573674172400765,0.3617606125035071,0.2808719702564165,0.07210225172022933
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_13_197.tif,WILL,13,T,197,24040.331790040815,24032.238409142858,18702.577862530612,0.35989794267370273,0.3600191461623191,0.2800829111639782,0.07969382802110814
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_13_208.tif,WILL,13,T,208,23607.95889730612,23649.688524081634,17971.69682644898,0.36256210754205076,0.36192237051484777,0.27551552194310147,0.08768632262615228
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_14_179.tif,WILL,14,T,179,23439.529499102042,23460.611675428572,19163.376161959182,0.355122049525968,0.3548029297276813,0.2900750207463508,0.0653661485779039
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_14_192.tif,WILL,14,T,192,23724.753457632654,23680.73461355102,18664.52301779592,0.3584188079166365,0.35908505336379337,0.2824961387195702,0.07525642374990937
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_14_197.tif,WILL,14,T,197,24145.861293387756,24176.60872457143,18744.9228682449,0.36048231016811466,0.3600238544288876,0.2794938354029976,0.08144693050434404
/Users/declantaylor/Documents/Work/Henry_Lab/Alex2022/honours_thesis/data/greenness/cropped_images/2022_WILL_OTC_14_208.tif,WILL,14,T,208,23826.71485322449,23580.18507559184,17810.188615183673,0.3615645163258553,0.3653446571315327,0.273090826542612,0.08469354897756587
