Site,OTC/Cntr,Plot,North 90°,North 15°,Center 90°,Center 15°,South 90°,South 15°,Notes,Year:,2022
Dryas,T,1,31,,20,,33,,,DOY:,182
Dryas,Cp,1,27,,46,,25,,,Observer:,"NR, SA"
Dryas,Cc,1,35,,33,,52,,,Notes,
Dryas,T,2,30,,38,,27,,,,
Dryas,Cp,2,42,,17,,27,,,,
Dryas,Cc,2,20,,30,,22,,,,
Dryas,T,3,66,,39,,43,,,,
Dryas,Cp,3,48,,29,,31,,,,
Dryas,Cc,3,55,,18,,28,,,,
Dryas,T,4,25,,33,,41,,,,
Dryas,Cp,4,45,,62,,58,,,,
Dryas,Cc,4,17,,61,,36,,,,
Dryas,T,5,33,,23,,40,,,,
Dryas,Cp,5,26,,62,,39,,,,
Dryas,Cc,5,31,,40,,31,,,,
Dryas,T,6,64,,18,,26,,,,
Dryas,Cp,6,28,,48,,26,,,,
Dryas,Cc,6,45,,33,,34,,,,
Dryas,T,7,27,,30,,40,,,,
Dryas,Cp,7,34,,43,,19,,,,
Dryas,Cc,7,32,,18,,28,,,,
Dryas,T,8,28,,19,,40,,,,
Dryas,Cp,8,28,,30,,40,,,,
Dryas,Cc,8,28,,26,,56,,,,
Dryas,T,9,33,,46,,33,,,,
Dryas,Cp,9,31,,34,,32,,,,
Dryas,Cc,9,34,,40,,36,,,,
Dryas,T,10,24,,63,,40,,,,
Dryas,Cp,10,47,,42,,49,,,,
Dryas,Cc,10,65,,34,,30,,,,
Dryas,CO2_T,11,37,,27,,35,,,,
Dryas,CO2_C,11,39,,46,,28,,,,
Dryas,CO2_T,12,32,,45,,41,,,,
Dryas,CO2_C,12,33,,30,,33,,,,
Dryas,CO2_T,13,32,,31,,54,,,,
Dryas,CO2_C,13,51,,49,,42,,,,
Dryas,CO2_T,14,35,,38,,33,,,,
Dryas,CO2_C,14,41,,40,,35,,,,